,id,name,cbd,ad_code,brand,price,addition
36,XM1668552987758297088,整租·半山御景1期 3室2厅 南/北,SM,0,链家,11900 元/月,思明-SM-半山御景1期/166.00㎡/南 北/3室2厅2卫/低楼层（26层）
37,XM1662778860724289536,整租·嘉景花园 2室2厅 南/北,SM,0,链家,4200 元/月,湖里-SM-嘉景花园/90.00㎡/南 北/2室2厅1卫/低楼层（10层）
38,XM1674379624047443968,整租·仙阁里花园 4室2厅 东/南,SM,0,链家,3600 元/月,思明-SM-仙阁里花园/116.00㎡/东 南/4室2厅1卫/高楼层（8层）
39,XM1709091931386019840,整租·侨建花园西区 1室1厅 东,SM,0,链家,1650 元/月,思明-SM-侨建花园西区/30.00㎡/东/1室1厅1卫/低楼层（8层）
40,XM1708128892784476160,整租·嘉信公寓 3室1厅 南/北,SM,0,链家,3800 元/月,湖里-SM-嘉信公寓/90.00㎡/南 北/3室1厅1卫/中楼层（7层）
41,XM1697612862744166400,整租·乌石浦花园二期 1室0厅 东南,SM,0,链家,2600 元/月,湖里-SM-乌石浦花园二期/30.00㎡/东南/1室0厅1卫/中楼层（17层）
42,XM1717216272493576192,整租·裕兴花园 1室0厅 南,SM,0,链家,2200 元/月,湖里-SM-裕兴花园/45.00㎡/南/1室0厅1卫/中楼层（22层）
43,XM1705891060946829312,整租·仙阁里花园 2室2厅 南/北,SM,0,链家,3100 元/月,思明-SM-仙阁里花园/70.00㎡/南 北/2室2厅1卫/中楼层（7层）
44,XM1676791448512495616,整租·裕发花园 3室2厅 错层 南,SM,0,链家,6700 元/月,湖里-SM-裕发花园/180.00㎡/南/3室2厅2卫/低楼层（11层）
45,XM1676933708231213056,整租·裕发花园 5室2厅 错层 南/北,SM,0,链家,8000 元/月,湖里-SM-裕发花园/153.71㎡/南 北/5室2厅2卫/低楼层（6层）
46,XM1668202449246093312,整租·台湾山庄巴厘香墅 4室2厅 南/北,SM,0,链家,25000 元/月,思明-SM-台湾山庄巴厘香墅/172.00㎡/南 北/4室2厅3卫/低楼层（4层）
47,XM1668821155458318336,整租·仙阁里花园 1室1厅 南,SM,0,链家,4500 元/月,思明-SM-仙阁里花园/55.00㎡/南/1室1厅1卫/低楼层（9层）
48,XM1689640331093475328,整租·裕发花园 3室2厅 东南,SM,0,链家,6600 元/月,湖里-SM-裕发花园/133.00㎡/东南/3室2厅1卫/低楼层（11层）
49,XM1689931094561914880,整租·福德堡 3室2厅 南,SM,0,链家,5800 元/月,思明-SM-福德堡/142.83㎡/南/3室2厅2卫/中楼层（5层）
50,XM1683095884889325568,合租·嘉隆公寓 1居室 南卧,SM,0,链家,1150 元/月,湖里-SM-嘉隆公寓/30.00㎡/南/1室0厅1卫/高楼层（7层）
51,XM1684108692812726272,整租·嘉信公寓 2室1厅 南/北,SM,0,链家,3300 元/月,湖里-SM-嘉信公寓/90.00㎡/南 北/2室1厅1卫/高楼层（7层）
52,XM1684397548334219264,整租·安泰花园 3室2厅 南/北,SM,0,链家,3500 元/月,湖里-SM-安泰花园/85.49㎡/南 北/3室2厅1卫/低楼层（7层）
53,XM1708685966035648512,整租·裕兴花园 1室1厅 南,SM,0,链家,2200 元/月,湖里-SM-裕兴花园/40.00㎡/南/1室1厅1卫/中楼层（22层）
54,XM1684761993602400256,整租·天成花园 1室0厅 南,SM,0,链家,1700 元/月,湖里-SM-天成花园/25.00㎡/南/1室0厅1卫/高楼层（21层）
55,XM1705820052080558080,整租·仙岳嘉园 1室0厅 东,SM,0,链家,1550 元/月,思明-SM-仙岳嘉园/28.00㎡/东/1室0厅1卫/低楼层（26层）
56,XM1706234033530208256,整租·仙岳嘉园 1室0厅 北,SM,0,链家,1500 元/月,思明-SM-仙岳嘉园/25.00㎡/北/1室0厅1卫/低楼层（26层）
57,XM1676918213469798400,整租·松柏华庭 1室1厅 南/北,SM,0,链家,3400 元/月,思明-SM-松柏华庭/63.00㎡/南 北/1室1厅1卫/低楼层（9层）
58,XM1677258428055027712,整租·仙岳嘉园 1室1厅 东,SM,0,链家,1600 元/月,思明-SM-仙岳嘉园/35.00㎡/东/1室1厅1卫/低楼层（26层）
59,XM1712390481775689728,整租·天成花园 2室1厅 东南,SM,0,链家,4780 元/月,湖里-SM-天成花园/80.00㎡/东南/2室1厅1卫/低楼层（23层）
60,XM1714913910454222848,整租·宝嘉誉峰 3室2厅 南/北,SM,0,链家,5900 元/月,思明-SM-宝嘉誉峰/135.00㎡/南 北/3室2厅2卫/中楼层（29层）
61,XM1669932355579543552,整租·金禾楼 2室0厅 东北,SM,0,链家,2550 元/月,湖里-SM-金禾楼/60.00㎡/东北/2室0厅1卫/高楼层（7层）
62,XM1669317806501396480,整租·仙阁里花园 4室1厅 南/北,SM,0,链家,4500 元/月,思明-SM-仙阁里花园/93.78㎡/南 北/4室1厅1卫/高楼层（7层）
63,XM1693549751875665920,整租·仙阁里花园 3室2厅 南/北,SM,0,链家,3900 元/月,思明-SM-仙阁里花园/88.10㎡/南 北/3室2厅1卫/中楼层（8层）
64,XM1691691039628197888,整租·侨岳里小区 1室1厅 南/北,SM,0,链家,2300 元/月,思明-SM-侨岳里小区/45.00㎡/南 北/1室1厅1卫/低楼层（8层）
65,XM1680854242803318784,整租·西郭新村 1室1厅 东南,SM,0,链家,3000 元/月,思明-SM-西郭新村/64.00㎡/东南/1室1厅1卫/中楼层（8层）
66,XM1681200381859725312,整租·聚祥花园 2室1厅 南,SM,0,链家,3300 元/月,思明-SM-聚祥花园/56.00㎡/南/2室1厅1卫/中楼层（8层）
67,XM1701827385470484480,整租·天成花园 1室1厅 南,SM,0,链家,2000 元/月,湖里-SM-天成花园/50.00㎡/南/1室1厅1卫/中楼层（17层）
68,XM1685284519378157568,整租·裕发花园 3室2厅 南/北,SM,0,链家,5700 元/月,湖里-SM-裕发花园/130.00㎡/南 北/3室2厅2卫/中楼层（11层）
69,XM1686295494541705216,整租·仙阁里花园 3室2厅 南,SM,0,链家,4500 元/月,思明-SM-仙阁里花园/88.00㎡/南/3室2厅2卫/中楼层（7层）
70,XM1706236224663977984,整租·西郭新村 2室1厅 南,SM,0,链家,2800 元/月,思明-SM-西郭新村/60.00㎡/南/2室1厅1卫/低楼层（7层）
71,XM1706587240546697216,整租·仙阁里花园 3室2厅 南/北,SM,0,链家,3500 元/月,思明-SM-仙阁里花园/69.33㎡/南 北/3室2厅1卫/中楼层（8层）
72,XM1677229863045431296,整租·嘉诚花园 3室2厅 南/西/北,SM,0,链家,3900 元/月,湖里-SM-嘉诚花园/90.00㎡/南 西 北/3室2厅2卫/高楼层（6层）
73,XM1695023273890283520,整租·侨建花园西区 1室1厅 北,SM,0,链家,1600 元/月,思明-SM-侨建花园西区/23.00㎡/北/1室1厅1卫/低楼层（8层）
74,XM1712450359353409536,整租·裕兴花园 1室0厅 东,SM,0,链家,2000 元/月,湖里-SM-裕兴花园/42.00㎡/东/1室0厅1卫/高楼层（22层）
75,XM1712818192633561088,整租·仙阁里花园 2室2厅 西南,SM,0,链家,3200 元/月,思明-SM-仙阁里花园/73.00㎡/西南/2室2厅1卫/中楼层（9层）
76,XM1715024235186880512,整租·仙岳嘉园 1室1厅 东,SM,0,链家,3200 元/月,思明-SM-仙岳嘉园/46.00㎡/东/1室1厅1卫/中楼层（26层）
77,XM1713777235120357376,整租·天成花园 1室1厅 东,SM,0,链家,1300 元/月,湖里-SM-天成花园/25.00㎡/东/1室1厅1卫/高楼层（23层）
78,XM1670059783207518208,整租·嘉隆公寓 1室0厅 南,SM,0,链家,2300 元/月,湖里-SM-嘉隆公寓/45.00㎡/南/1室0厅1卫/中楼层（7层）
79,XM1700803490097397760,整租·中港花园 2室1厅 南,SM,0,链家,4000 元/月,湖里-SM-中港花园/78.38㎡/南/2室1厅1卫/中楼层（8层）
80,XM1678718668667617280,整租·嘉诚花园 3室1厅 南/北,SM,0,链家,3600 元/月,湖里-SM-嘉诚花园/100.00㎡/南 北/3室1厅1卫/高楼层（6层）
81,XM1662408167281131520,整租·天成花园 1室0厅 北,SM,0,链家,700 元/月,湖里-SM-天成花园/20.00㎡/北/1室0厅0卫/高楼层（23层）
82,XM1669643641242517504,整租·宝嘉誉峰 3室2厅 南/北,SM,0,链家,12000 元/月,思明-SM-宝嘉誉峰/171.00㎡/南 北/3室2厅2卫/中楼层（24层）
83,XM1609139586003369984,整租·宝嘉誉峰 1室0厅 南,SM,0,链家,1500 元/月,思明-SM-宝嘉誉峰/60.00㎡/南/1室0厅0卫/地下室（1层）
84,XM1667870614569877504,整租·中港花园 3室2厅 南,SM,0,链家,4200 元/月,湖里-SM-中港花园/96.00㎡/南/3室2厅1卫/低楼层（7层）
85,XM1696856219286765568,整租·兴山花园 2室2厅 东/南,SM,0,链家,4300 元/月,湖里-SM-兴山花园/80.00㎡/东 南/2室2厅1卫/低楼层（25层）
86,XM1706576986077396992,整租·嘉隆公寓 2室2厅 南/北,SM,0,链家,3300 元/月,湖里-SM-嘉隆公寓/80.00㎡/南 北/2室2厅1卫/低楼层（7层）
87,XM1706261027827482624,整租·天成花园 1室1厅 南,SM,0,链家,2000 元/月,湖里-SM-天成花园/45.00㎡/南/1室1厅1卫/中楼层（17层）
88,XM1708440392648622080,整租·禾山路 3室2厅 南/北,SM,0,链家,3500 元/月,湖里-SM-禾山路/105.00㎡/南 北/3室2厅1卫/中楼层（7层）
89,XM1708489919480987648,整租·中港花园 3室2厅 南,SM,0,链家,4300 元/月,湖里-SM-中港花园/97.00㎡/南/3室2厅1卫/中楼层（7层）
90,XM1696005575256571904,整租·天成花园 2室2厅 南,SM,0,链家,3700 元/月,湖里-SM-天成花园/65.00㎡/南/2室2厅1卫/低楼层（21层）
91,XM1696131172146348032,整租·裕兴花园 1室1厅 北,SM,0,链家,2000 元/月,湖里-SM-裕兴花园/40.00㎡/北/1室1厅1卫/中楼层（22层）
92,XM1713184570007879680,整租·仙阁里花园 2室2厅 南/北,SM,0,链家,3200 元/月,思明-SM-仙阁里花园/70.62㎡/南 北/2室2厅1卫/中楼层（8层）
93,XM1711585430555590656,整租·中港花园 1室1厅 南,SM,0,链家,2000 元/月,湖里-SM-中港花园/30.00㎡/南/1室1厅1卫/高楼层（6层）
94,XM1711378672297967616,整租·裕发花园 2室1厅 南,SM,0,链家,2700 元/月,湖里-SM-裕发花园/75.00㎡/南/2室1厅1卫/高楼层（7层）
95,XM1663782020288872448,整租·福德堡 5室2厅 复式 南/北,SM,0,链家,9500 元/月,思明-SM-福德堡/219.32㎡/南 北/5室2厅4卫/高楼层（3层）
96,XM2906395474729123840,整租·裕兴花园 1室0厅 西,SM,0,链家,2600 元/月,湖里-SM-裕兴花园/40.00㎡/西/1室0厅1卫/低楼层（22层）
97,XM1692050826186457088,整租·军岳山庄 3室1厅 南/北,SM,0,链家,7000 元/月,思明-SM-军岳山庄/135.00㎡/南 北/3室1厅2卫/高楼层（7层）
98,XM1692114023182499840,整租·裕兴花园 1室1厅 南,SM,0,链家,2600 元/月,湖里-SM-裕兴花园/35.00㎡/南/1室1厅1卫/低楼层（22层）
99,XM1697089982545526784,整租·嘉景花园 2室1厅 北,SM,0,链家,2500 元/月,湖里-SM-嘉景花园/50.00㎡/北/2室1厅1卫/高楼层（11层）
100,XM1715311973765218304,整租·百果山小区 2室2厅 南,SM,0,链家,3500 元/月,湖里-SM-百果山小区/100.00㎡/南/2室2厅1卫/高楼层（7层）
101,XM1651873983458443264,整租·西郭社区 3室1厅 南/北,SM,0,链家,4300 元/月,思明-SM-西郭社区/108.00㎡/南 北/3室1厅1卫/中楼层（9层）
102,XM1717140629814771712,整租·仙岳嘉园 1室0厅 南,SM,0,链家,1300 元/月,思明-SM-仙岳嘉园/20.00㎡/南/1室0厅1卫/低楼层（26层）
103,XM1709061549588480000,整租·乌石浦新村 2室1厅 东南,SM,0,链家,2300 元/月,湖里-SM-乌石浦新村/60.00㎡/东南/2室1厅1卫/高楼层（7层）
104,XM1697539706872397824,整租·天成花园 2室1厅 东南,SM,0,链家,3800 元/月,湖里-SM-天成花园/75.00㎡/东南/2室1厅1卫/中楼层（21层）
105,XM1680879657152413696,整租·天成花园 1室1厅 南,SM,0,链家,1950 元/月,湖里-SM-天成花园/35.00㎡/南/1室1厅1卫/低楼层（17层）
106,XM1706675539885948928,整租·仙阁里花园 3室1厅 东南/北,SM,0,链家,3500 元/月,思明-SM-仙阁里花园/70.00㎡/东南 北/3室1厅1卫/中楼层（8层）
107,XM1708087381556461568,整租·龙潭花园 3室1厅 东南,SM,0,链家,3700 元/月,湖里-SM-龙潭花园/88.00㎡/东南/3室1厅1卫/中楼层（7层）
108,XM1708481533012082688,整租·裕发花园 3室2厅 南/北,SM,0,链家,7800 元/月,湖里-SM-裕发花园/131.44㎡/南 北/3室2厅1卫/高楼层（14层）
109,XM1703711797938225152,合租·侨建大楼 2居室 南卧,SM,0,链家,2300 元/月,思明-SM-侨建大楼/26.00㎡/南/2室0厅0卫/低楼层（9层）
110,XM1696192430832877568,整租·侨岳里小区 2室1厅 北,SM,0,链家,3600 元/月,思明-SM-侨岳里小区/68.00㎡/北/2室1厅1卫/低楼层（8层）
111,XM1686952573405233152,整租·聚祥花园 1室0厅 南,SM,0,链家,1750 元/月,思明-SM-聚祥花园/30.00㎡/南/1室0厅1卫/高楼层（9层）
112,XM1698331092508999680,整租·江村丽苑 1室1厅 东南,SM,0,链家,2500 元/月,湖里-SM-江村丽苑/47.00㎡/东南/1室1厅1卫/中楼层（18层）
113,XM1698329736553431040,整租·江村丽苑 1室1厅 东南,SM,0,链家,2500 元/月,湖里-SM-江村丽苑/45.00㎡/东南/1室1厅1卫/中楼层（18层）
114,XM1711674806371352576,整租·宝嘉誉峰 3室2厅 南/北,SM,0,链家,6900 元/月,思明-SM-宝嘉誉峰/107.78㎡/南 北/3室2厅2卫/中楼层（9层）
115,XM1712014314375741440,整租·裕兴花园 1室1厅 东,SM,0,链家,2500 元/月,湖里-SM-裕兴花园/40.00㎡/东/1室1厅1卫/中楼层（22层）
116,XM1584780189135536128,整租·台湾山庄巴厘香墅 4室2厅 南/北,SM,0,链家,28000 元/月,思明-SM-台湾山庄巴厘香墅/323.00㎡/南 北/4室2厅2卫/低楼层（3层）
117,XM1589611642654556160,整租·嘉隆建材城 3室2厅 南/北,SM,0,链家,4600 元/月,湖里-SM-嘉隆建材城/103.00㎡/南 北/3室2厅1卫/高楼层（7层）
118,XM1692788253255532544,整租·嘉诚花园 2室1厅 南,SM,0,链家,3500 元/月,湖里-SM-嘉诚花园/77.00㎡/南/2室1厅1卫/低楼层（6层）
119,XM1693126805612920832,整租·军岳山庄 3室2厅 南/北,SM,0,链家,5800 元/月,思明-SM-军岳山庄/130.00㎡/南 北/3室2厅2卫/低楼层（8层）
120,XM1700806691488006144,整租·嘉诚花园 2室2厅 南/北,SM,0,链家,2600 元/月,湖里-SM-嘉诚花园/66.70㎡/南 北/2室2厅1卫/高楼层（6层）
121,XM1656930766375878656,整租·西郭社区 5室2厅 南/北,SM,0,链家,6500 元/月,思明-SM-西郭社区/145.00㎡/南 北/5室2厅2卫/高楼层（9层）
122,XM2626641781827043328,整租·台湾山庄巴厘香墅 6室3厅 南/北,SM,0,链家,28000 元/月,思明-SM-台湾山庄巴厘香墅/192.00㎡/南 北/6室3厅6卫/中楼层（4层）
123,XM2870125557381595136,整租·仙阁里花园 2室1厅 南/北,SM,0,链家,3800 元/月,思明-SM-仙阁里花园/87.31㎡/南 北/2室1厅1卫/高楼层（7层）
124,XM1697136825254019072,整租·兴山花园 2室1厅 南/北,SM,0,链家,3600 元/月,湖里-SM-兴山花园/70.00㎡/南 北/2室1厅1卫/高楼层（25层）
125,XM1691749752158289920,整租·裕兴花园 1室0厅 北,SM,0,链家,2500 元/月,湖里-SM-裕兴花园/40.00㎡/北/1室0厅1卫/高楼层（22层）
126,XM1694569622067478528,整租·天成花园 1室1厅 南,SM,0,链家,2400 元/月,湖里-SM-天成花园/55.00㎡/南/1室1厅1卫/高楼层（17层）
127,XM1708426434613084160,整租·龙潭花园 2室1厅 南/北,SM,0,链家,2800 元/月,湖里-SM-龙潭花园/72.00㎡/南 北/2室1厅1卫/中楼层（7层）
128,XM1708360692878278656,整租·天成花园 1室1厅 东南,SM,0,链家,2000 元/月,湖里-SM-天成花园/45.00㎡/东南/1室1厅1卫/中楼层（21层）
129,XM1703699974614679552,整租·仙阁里花园 2室2厅 南/北,SM,0,链家,3000 元/月,思明-SM-仙阁里花园/68.00㎡/南 北/2室2厅1卫/中楼层（7层）
130,XM1703621444874797056,整租·侨岳里小区 3室2厅 东南/西南,SM,0,链家,4500 元/月,思明-SM-侨岳里小区/94.27㎡/东南 西南/3室2厅1卫/中楼层（8层）
131,XM1687357151820906496,整租·侨岳里小区 3室2厅 南/北,SM,0,链家,3800 元/月,思明-SM-侨岳里小区/81.00㎡/南 北/3室2厅1卫/低楼层（8层）
132,XM1687677878147219456,整租·聚祥花园 2室2厅 东南,SM,0,链家,4500 元/月,思明-SM-聚祥花园/127.00㎡/东南/2室2厅2卫/中楼层（9层）
133,XM1698330578891309056,整租·江村丽苑 1室1厅 东南,SM,0,链家,2500 元/月,湖里-SM-江村丽苑/47.00㎡/东南/1室1厅1卫/中楼层（18层）
134,XM1681644152841830400,整租·福德堡 1室0厅 南,SM,0,链家,700 元/月,思明-SM-福德堡/38.00㎡/南/1室0厅0卫/地下室（5层）
135,XM1712053837600129024,整租·裕兴花园 1室1厅 南,SM,0,链家,2600 元/月,湖里-SM-裕兴花园/50.00㎡/南/1室1厅1卫/高楼层（22层）
136,XM1712046942361485312,整租·金岳花园 3室2厅 南,SM,0,链家,4900 元/月,思明-SM-金岳花园/100.00㎡/南/3室2厅1卫/中楼层（11层）
137,XM1602183850744610816,整租·侨岳里小区 3室2厅 南,SM,0,链家,3600 元/月,思明-SM-侨岳里小区/81.62㎡/南/3室2厅1卫/高楼层（8层）
138,XM1715295567535407104,整租·兴山花园 3室1厅 南/北,SM,0,链家,4000 元/月,湖里-SM-兴山花园/83.00㎡/南 北/3室1厅2卫/低楼层（25层）
139,XM1692933604708974592,整租·仙岳嘉园 1室0厅 南,SM,0,链家,1400 元/月,思明-SM-仙岳嘉园/30.00㎡/南/1室0厅1卫/低楼层（26层）
140,XM1707336668777807872,整租·裕兴花园 1室0厅 北,SM,0,链家,2300 元/月,湖里-SM-裕兴花园/40.00㎡/北/1室0厅1卫/高楼层（22层）
141,XM1684395039431589888,整租·源泉山庄 3室2厅 南,SM,0,链家,4500 元/月,湖里-SM-源泉山庄/92.66㎡/南/3室2厅1卫/高楼层（7层）
142,XM1685190791334461440,整租·天成花园 3室1厅 南,SM,0,链家,4500 元/月,湖里-SM-天成花园/87.00㎡/南/3室1厅1卫/低楼层（23层）
143,XM1693525602339913728,整租·裕兴花园 1室1厅 南,SM,0,链家,2200 元/月,湖里-SM-裕兴花园/38.00㎡/南/1室1厅1卫/高楼层（22层）
144,XM1668190870135898112,整租·裕兴花园 1室1厅 西,SM,0,链家,2300 元/月,湖里-SM-裕兴花园/45.00㎡/西/1室1厅1卫/低楼层（22层）
145,XM1683765700579033088,整租·裕兴花园 1室1厅 东,SM,0,链家,2200 元/月,湖里-SM-裕兴花园/40.00㎡/东/1室1厅1卫/高楼层（22层）
146,XM1709084579161178112,整租·中港花园 3室1厅 南,SM,0,链家,4000 元/月,湖里-SM-中港花园/56.61㎡/南/3室1厅1卫/低楼层（5层）
147,XM1708807309632733184,整租·宝嘉誉峰 4室2厅 南/北,SM,0,链家,12000 元/月,思明-SM-宝嘉誉峰/169.00㎡/南 北/4室2厅2卫/低楼层（16层）
148,XM1703768144817946624,整租·裕兴花园 2室1厅 南,SM,0,链家,2800 元/月,湖里-SM-裕兴花园/49.00㎡/南/2室1厅1卫/高楼层（22层）
149,XM1703685014471835648,整租·天成花园 2室1厅 南,SM,0,链家,4900 元/月,湖里-SM-天成花园/60.00㎡/南/2室1厅1卫/中楼层（21层）
150,XM1688432395054743552,整租·嘉景花园 3室2厅 南/北,SM,0,链家,4150 元/月,湖里-SM-嘉景花园/100.00㎡/南 北/3室2厅2卫/中楼层（7层）
151,XM1689123300036313088,整租·裕发花园 4室2厅 错层 南,SM,0,链家,7000 元/月,湖里-SM-裕发花园/155.20㎡/南/4室2厅2卫/高楼层（6层）
152,XM1700740374672179200,整租·仙阁里花园 2室2厅 南,SM,0,链家,3000 元/月,思明-SM-仙阁里花园/76.00㎡/南/2室2厅1卫/高楼层（7层）
153,XM1689510928170614784,整租·裕发花园 5室3厅 跃层 东/南/北,SM,0,链家,16500 元/月,湖里-SM-裕发花园/226.00㎡/东 南 北/5室3厅5卫/低楼层（3层）
154,XM1710949930840883200,整租·裕发花园 4室2厅 南/北,SM,0,链家,7800 元/月,湖里-SM-裕发花园/156.00㎡/南 北/4室2厅2卫/中楼层（11层）
155,XM1710868978080940032,整租·裕兴花园 1室1厅 南,SM,0,链家,1700 元/月,湖里-SM-裕兴花园/38.00㎡/南/1室1厅1卫/高楼层（22层）
156,XM1715304828583804928,整租·裕发花园 5室2厅 南/北,SM,0,链家,15000 元/月,湖里-SM-裕发花园/250.00㎡/南 北/5室2厅3卫/低楼层（11层）
157,XM1715284897259585536,整租·中港花园 1室1厅 东/南,SM,0,链家,1900 元/月,湖里-SM-中港花园/15.00㎡/东 南/1室1厅1卫/低楼层（7层）
